path,width,height,mode,bytes,sha256
art/batch-01-event-preview.jpg,1100,250,RGB,160241,40d59474b236bd24b79df607d5a2b17c1ca599b95de8df253b118d1c9e4f5a5b
art/batch-01-tactical-preview.jpg,1040,310,RGB,163333,354bea9418e49b57c6fec80840f48d9aca04136f916253276042ab26cd431867
art/character-masters/batch-01/C01.png,1073,1466,RGBA,2106257,6178e617e828d07d9e79420386aea3f2d78a13a9ff283ba430378fc587685e23
art/character-masters/batch-01/C02.png,1075,1463,RGBA,2464936,d6f27b18c9821e8b9dba548d52144cc35624c2cfd393ec2079835e04ea40df70
art/character-masters/batch-01/C03.png,1168,1346,RGBA,2645728,951f9dc6f0c6fff83021c76bc1a1d4eca150a8c6e1ff2a20d59b4a69518a73b0
art/character-masters/batch-01/C04.png,1076,1461,RGBA,2445023,773f3dde30057b684bfa0e39cc319954d5d2fc49ab344f4b5c31aed65d5cd19a
art/character-masters/batch-01/C05.png,1076,1462,RGBA,2604681,19bbc132b7d73fd32a1c271a2406f7cd26c3c71f8c9caa4d454e0a20221ccfdf
art/character-masters/batch-02/C06.png,1076,1462,RGBA,2550768,9856f5731c8f7497b0bcae9a7bd4792b63ba4fb87a0b52ea0cc8fde2342a669b
art/final-character-contact-sheet.jpg,1100,1500,RGB,486665,39377fdfb30971a3909dde57285ec68c2f462fd9acbadd4eb2452d0c450cd1f2
art/final-tactical-contact-sheet.jpg,1040,1860,RGB,702974,ee5dc8ed2bb417e554e635352d82112d10f883d02ecf34b5a946fcb6b09bf335
art/references/bilibili/contact_sheet.jpg,1280,1320,RGB,602067,436c8c7d79e8b7939b3846166c1115623243248af6f0e54d5137d4b4df267d8e
art/references/bilibili/S06_C04_C09_BV1cWU4BaECW.jpg,1832,1031,RGB,381286,90a48640a2b8640bf5049a6c2173e112fb5cff159b7012667c04d84d9565c27f
art/references/bilibili/S13_C18_BV1aMes6CEzW.jpg,1061,597,RGB,83702,4ae87063d329ff7f59c7228aed174b7db78ea165a8d41a3d08531289d5bcda0c
art/references/bilibili/S14_C14_BV1fGeG6HEKc.jpg,1920,1080,RGB,161577,6f2644c50a1cfea3ea506a83d52482df8671513b0cea93109752678d1996e70f
art/references/bilibili/S19_C11_C12_BV1cJoyBqE67.jpg,1440,810,RGB,204521,aeb782ce928227a5ab5d5bacce19d99140ac971c617c5831c65fc577e6c0e7c0
art/references/bilibili/S20_C13_BV1und5BhEsB.jpg,1906,1072,RGB,304098,5f445544b7e3f8a74ff90237b52207a38834f45d5d32d7e52baae9757cec2b5e
art/references/bilibili/S21_C16_BV1Mde16wEkt.jpg,1056,594,RGB,81746,286377c9abc1af99ba86120464a6f79b55124cb02a726d5147dd13d69e58d1fb
art/references/bilibili/S22_C15_C17_BV1454R6iEVa.jpg,1920,1080,RGB,291545,d3261a8508fc7a54bc45de28770d88650e38e412546f451f8c2784c1313e0d65
art/references/bilibili/S25_C19_BV1ThtN6vEa7.jpg,1564,880,RGB,181720,e83cc06c6ca71769200ce1492031622a9c00402499afa09a379393a561268e71
art/references/bilibili/S27_C19_BV1Wwt86hEhD.jpg,1920,1080,RGB,358382,5935ebd2ec51fb8cc83b6eea42fb35b2f3b35698070d51153bcae6156840f09c
art/references/bilibili/S35_C28_BV1nKeg6UE7V.jpg,1056,792,RGB,715252,4037b26b0ec2fc5ac9662c9c06a51824e6131f33c3e879b35a73be6f8d872b59
art/references/bilibili/S36_C25_BV1HBY16SEAV.jpg,1916,1080,RGB,1609335,a100e74f72e742f849df1472beb0dde30deac5582bbd6d0489b7ff9566cf9370
art/references/bilibili/S37_C26_BV1tcbM61EyS.jpg,1920,1080,RGB,338676,ee7dfda4cf98d39d747306c7c48ab0b64a02ed6f209ce92f1bf13d51d724ce42
art/references/bilibili/S38_C27_BV1w1b36VEW6.jpg,1920,1080,RGB,272219,d65995d4a11a830e1e7dedbffc9631326ee9174190bdcc091886a173cb08359d
art/references/bilibili/S39_C20_BV1Qntq6hEwL.jpg,1920,1080,RGB,142239,4bb1bbe33e30bd2400c5d41890fc00f19f5797b3f8e1b7dc4b9760463b88d62e
art/references/bilibili/S40_C20_BV16ath6fEzW.jpg,1920,1080,RGB,357141,e08d439fe530d50dbb6652704f936cfe2d3ceecf188a4c27014ac7bd2b034c4a
art/references/bilibili/S41_C21_C22_BV1wcud6pE9h.jpg,1920,1080,RGB,369573,561cfaa5fbcceb545480e769efbb22d8b287f02fbb09e1853618fb77ce0c4bbc
art/references/bilibili/S42_C23_BV1tQ4R6gELW.jpg,742,417,RGB,40730,997b028f570387964dc92890fc26ea5aeb473d796709644a7fd0e13b594e8d65
art/references/bilibili/S44_C29_BV1s5tm6jEsZ.jpg,1920,1080,RGB,388436,bf8104fc670534c43ba0a64955a2b981e7422f0c22ff9cf062c7e5e72bd7fb60
art/references/bilibili/S45_C30_BV15itB6gEpY.jpg,1143,643,RGB,128975,9f3f77f12edc262bd09e8dcac733cdcaf7706086e8bc4567bb84bfc6e9260246
art/references/bilibili/S49_C31_BV1AobM6ME4c.jpg,960,540,RGB,81387,77a13112c4d9c21eafde16d0b755f14bb281712eec7723d437760d89455afc9e
art/references/bilibili/S59_C21_BV1hobT6EEzP.jpg,1920,1080,RGB,359316,4944711e2cec46e18935143f77a3ba6e519dd65a0a55d57257c51f3d15cafddc
art/references/bilibili/S60_C22_BV1fJ8Z6zEQh.jpg,1920,1080,RGB,271348,53d6b827b0127500922eb896401771c5cc4d453be1732de4867e84fcb26e8402
art/references/streamers/224_main_roster_202609.jpg,1920,600,RGB,456333,3b3be00b995fe84ad77542f2e38a33f11656cb64a40741f6e7ce3f9f5fda3289
art/references/streamers/224_room_live_20260923.jpg,1280,720,RGB,73447,f01e1ffdf0d6aedc24d1226f88701b668140e297cf35f357c35edc30597df494
art/references/streamers/224_tuanbo_S7_roster.jpg,1920,600,RGB,861725,acabbb86070d97148e59bcaa12b3c021ab93f53286734c464cba01d79c16e339
art/references/streamers/C01_afei.jpg,196,250,RGB,14070,6149d13a2af1c72b9b9769202d8c9024dbfdc7a83c127cc486caf888a1d13046
art/references/streamers/C02_matcha.jpg,200,200,RGB,20380,dd7cb2b0585bbc94686fd1a6158dfcb4d7e93cb70dea35600dd88e188db57457
art/references/streamers/C03_wangdamou.jpg,120,120,RGB,18973,e9e4e4199bde5a8a877857951a945128e07a965e19e79d9d74d8add89b782765
art/references/streamers/C03_wangdamou_bili.jpg,1221,686,RGB,201885,c198a6d15ed63b5e4461eda72d4647862f3cc04560b7433f7d0b7473d0e3ce22
art/references/streamers/C04_bottle.jpg,120,120,RGB,12063,5e2a0b90352a208cc4e14cdd183c770c92800b9f88853ff98dc37f2dfb8a97f9
art/references/streamers/C05_lili.jpg,200,200,RGBA,44115,7a883d37608ee666ca664eff1793711aea9aa62ca566494c8012e227412ed097
art/references/streamers/C06_yuchujiu.jpg,120,120,RGB,16772,b852b8651c2daa95f289bc93d9826c43e394d7a27fddf015339073bd9f6d6575
art/references/streamers/C07_xiaoyueya.jpg,200,246,RGB,21407,976607778e355f070e969814cbe32aa00dfe7a5aedf0b1839c1a8d5c92d920a2
art/references/streamers/C08_shell.jpg,200,200,RGB,33962,53517eb8ab1b0c5de659078d36de33c471fc5c8e44ef7465a94ddaabdaed7a35
art/references/streamers/C09_baixiaoshuai.jpg,200,200,RGBA,41013,a24905463fcff5cdb9815e3d55a56a5083b6cc2085b5b4e255ce37381c183b19
art/references/streamers/C10_wangduidui.jpg,120,120,RGB,21026,a5be56486a80325660979a1126284c119bb329d97972d4864f51e411b4aac34f
art/references/streamers/C14_xiaojie.jpg,120,120,RGB,16329,ff8645100e744e2f2e7cc597d34fbe0e53ecf93efa46347d0578ad8b41c2daa8
art/references/streamers/C16_tutu.jpg,200,200,RGB,34465,8c2e68c24104be154a31aab149481d7140b34615c026a237ad6e081559fed9c0
art/references/streamers/C18_tongzhu.jpg,200,200,RGB,35494,dad72c7e8e0283eee53670697c25a5ed15a593dc5e9f90877dfcc67c56237481
art/references/streamers/C21_meiya.jpg,200,200,RGB,33587,daf6e9db59c2f6bce83d71f02bf802444fdde109b13774a454e4c9ba06bbba3b
art/references/streamers/C22_chenzhihan.jpg,200,200,RGB,30879,5fd6ab585a871dae2b4f4d0e95345f88bb4d405d6498d059ee2900dd2c116677
art/references/streamers/C25_wanshe.jpg,200,200,RGBA,72448,e83ffaf016f754ab50ef9f58a06ce1e3a9ba0dd916a48615079a594fafc6356a
art/references/streamers/C26_zhizhi.jpg,200,200,RGB,28943,98535239dffb14f3a58863748bc34d30b23d4731cf64ed016d1f9d7d6728b95b
art/references/streamers/C29_yiyaoyao.jpg,120,120,RGB,12615,0e5f1fb52f5dd4fc615053cec461269fe57b3cf9a8dbab87c1782e2e20803906
art/references/streamers/C30_luoyike.jpg,120,120,RGBA,35225,39dd1f4a38915d99cb6501d832d843397762b9606ebae0ccb8a4b8b072f84136
art/references/streamers/C31_bula.jpg,120,120,RGB,14976,2edfe521f8759cbf60ff9f84b2aa97a2778cb21b336b3a88a8fe24e4f2f3ddb8
art/references/streamers/reference_board_A.png,1400,640,RGB,899472,a0efba43ffaca6cc12ef06755b4260c2d36d48786c38613485c41485eb9f4189
art/references/streamers/reference_board_B.png,1400,640,RGB,954198,757c006daac8054e1b974b9bcdde8c9a134303f2eb02cd84a7ce9d7d27001193
art/references/streamers/reference_board_C.png,1400,640,RGB,875947,2f7846254c78a6f805e568a62f627de1665efdd24ac8fab352b90741288cc201
art/references/user-provided/C04-xiaojiuping.png,1440,2560,RGB,2881055,eface667cf5cdd5f586d6bb27d469c32cd52a110a37f645a82b531cc889f30f4
art/references/user-provided/C05-lili.png,1440,1878,RGB,2889580,512b5a033e5c3cd5c1135fb200d0caed8a25f804fa2f7fbe281c2f584aebff91
art/references/user-provided/C06-yuchujiu.png,528,507,RGB,354002,cd83070e048960c1da868f5f524085251890f73044b9515818ee6551b08ff2b3
art/reviews/bb-style-v4-C06-C05-C04.jpg,900,690,RGB,131774,cf95c87c9d0a263b11a328142ef5592f80bf9ff4827455b810bb65696cfa6c7c
art/reviews/C04.png,820,510,RGBA,154016,81c350b5b5c6c35b3da7e8f3cfbdec17c53726d0660b60e85d048e1cd534e75d
art/reviews/C05.png,820,510,RGBA,163876,5b3080094106ffa8e72655ef04b39ae8fa0e6bc22aaa634ea82ba115bd9f767c
art/reviews/C06-identity-lock-v5.jpg,660,460,RGB,63274,2c0cb8376bc5eb7b4d43876e3734d5a891fb4a7ae7d7c9c30febc116257b8de9
art/reviews/C06.png,820,510,RGBA,162677,76b344214b2efefa7c26b94022026c26d5d00082b7812e9314d00c831832dd99
art/reviews/coherent-C01-C06-equipment-v2.jpg,1260,690,RGB,239008,2a90c93b2e52e62134efb0838b67f97056aca4c6510d733afc05c209c80b3cd2
art/reviews/hair-direction-height-C01-C06.jpg,1080,880,RGB,226616,7e9f7224ad16b24096a1210ce58aec910e13e58027568157bd6181ef34993ba6
art/reviews/identity-lock-v5-C06-C05-C04.jpg,900,690,RGB,128616,e90561466535ca3ca5754f72345aa66fc395d8cffcd13d07a4d54a06b0ddbda5
art/reviews/layered-C01-C06-equipment-preview.jpg,1080,660,RGB,182079,4b622bf806aeedd6b9edac54ceb5e8fe85ebf2730b582262e97551dfd36e0c24
art/reviews/layered-C01-C06.jpg,1080,654,RGB,118534,36fcd3e89bf8a2deadf49fdd7b58ebc32121771e3d29bc1d223d8805c291b1ea
art/reviews/likeness-C06-C05-C04-v3.jpg,900,690,RGB,126854,4ebc4cf91f8dbb4a397e677f558489a3dac2485d73d365ed4de008143a5e3f54
art/reviews/runtime-C01-C06-20260924.jpg,1080,660,RGB,165145,ff42216f4943ba60e754374848c7192a7db40e7f87e8426ff1e1dd643d2b2efc
art/reviews/vanilla-hair-options.jpg,1260,654,RGB,122865,86f6d365ed305765ab3da08210e163750493c6f80ffdfd39a622feb36ebc1579
art/reviews/vanilla-layer-baseline.jpg,540,218,RGB,16209,3ffb432eaa7db977990ecd318a159b064d8a1e7d576a3a8e88a5fea9c2f7754a
art/tactical-sprites/battle-style-v6/afei_figure_C04.png,114,142,RGBA,23389,4dd00c20cb3abf5414a18c4fef88e41af3c4193ba83b8867236caa0f50d972ce
art/tactical-sprites/battle-style-v6/afei_figure_C05.png,114,142,RGBA,26382,ebec5a6c691b5905e35a986e25dbe8b93179788a2106e7a9c2a1c4cadff89a4b
art/tactical-sprites/battle-style-v6/afei_figure_C06.png,114,142,RGBA,24264,ff9497320f226a1e0b3958cb7542af488c588f0b9830ea39e1c4c61f463baafb
art/tactical-sprites/battle-style-v6/C04-master.png,1123,1400,RGBA,1291445,a79d4318fed367be33a2d8bb0fd8397111665e1e7ea86d1ee249d2bff107aaa6
art/tactical-sprites/battle-style-v6/C05-master.png,1123,1400,RGBA,1611855,e8c6cdfbd08e0a2d9d72a7c89715741ff9c0f29960097636a33d94c35bd6cca5
art/tactical-sprites/battle-style-v6/C06-master.png,1191,1320,RGBA,1272707,d1db8df1a0e1c8215c5409df1449638558e5c8257d2035b09a02da09befb21a7
art/tactical-sprites/bb-style-v4/afei_figure_C04.png,114,142,RGBA,22068,0bab112157d5255e0c8d89448bb268580dcc10b54fdea4f27d46f00c40652f40
art/tactical-sprites/bb-style-v4/afei_figure_C05.png,114,142,RGBA,28139,f3559f5dfbb08f0fd896480190fc1fa60a86bb998542ee31ae38b6c9b1c796c9
